pageid,title
168868,Philippe of Belgium
230091,Elio Di Rupo
843030,Frank Vandenbroucke (politician)
2841640,Louis Tobback
3062009,Vincent Van Quickenborne
8408494,Paul Magnette
14143193,Bart De Wever
23674301,Cathy Berx
25433284,Alexander De Croo
27729978,Tinne Van der Straeten
27806290,Jan Peumans
28059600,Liesbeth Homans
28073999,Jan Jambon
37977281,Rudi Vervoort
38953753,Mathias De Clercq
43420523,Sven Gatz
43430228,Petra De Sutter
54272488,Oliver Paasch
54385246,Meryame Kitir
56691695,Philippe Close
60891001,Zakia Khattabi
62880966,David Clarinval
65225748,Vincent Van Peteghem
65466909,Annelies Verlinden
65468207,Ludivine Dedonder
65470270,Pierre-Yves Dermagne
65478610,Karine Lalieux
65485111,Georges Gilkinet
66040352,Eliane Tillieux
66281839,Sarah Schlitz
66284170,Stephanie D'Hose
66571648,Michel Hofman
